cgpa,score,placed
8.07,8.76,1
7.68,6.97,1
9.49,3.18,0
2.95,2.29,0
2.94,6.42,0
8.47,8.29,1
1.47,7.32,0
7.67,5.94,1
3.67,6.79,0
3.39,8.8,0
4.24,2.83,0
6.25,7.9,1
8.65,8.51,1
5.86,3.02,0
2.97,8.47,0
0.16,3.04,0
0.86,4.42,0
4.18,2.48,0
0.7,6.76,0
0.34,5.37,0
0.51,0.53,0
2.35,0.75,0
2.15,2.77,0
0.03,0.23,0
3.53,1.89,0
6.53,2.73,0
4.24,5.52,0
8.11,1.39,0
5.24,8.06,0
2.61,3.07,0
3.11,6.52,0
8.91,4.58,0
2.57,8.96,0
9.28,3.86,0
5.67,0.2,0
2.16,6.38,0
9.29,0.94,0
8.45,6.04,1
9.81,4.89,0
9.37,0.95,0
6.35,6.33,1
5.58,8.81,1
9.29,1.87,0
2.99,1.89,0
5.26,0.25,0
7.95,2.34,0
7.9,3.1,0
8.55,3.0,0
0.79,5.27,0
3.65,8.05,0
2.35,2.25,0
8.72,0.88,0
6.79,2.79,0
0.02,0.28,0
6.52,2.3,0
2.61,0.26,0
3.62,7.93,0
5.06,6.28,0
5.02,0.53,0
9.56,8.42,1
7.76,8.57,1
8.98,1.16,0
4.52,8.72,0
0.66,6.91,0
2.54,0.25,0
2.17,6.08,0
0.73,3.07,0
4.46,2.34,0
8.47,4.41,0
9.76,4.84,0
2.15,5.13,0
7.95,5.64,1
0.59,3.7,0
1.99,0.77,0
8.26,4.45,0
1.23,5.32,0
6.24,3.26,0
0.69,6.92,0
1.96,6.99,0
6.03,5.25,0
0.48,8.5,0
0.81,8.27,0
5.35,4.44,0
5.53,3.29,0
6.59,5.17,0
5.37,5.67,0
4.17,4.1,0
6.24,3.39,0
9.73,6.49,1
5.9,3.09,0
5.15,0.69,0
7.67,2.5,0
1.64,6.0,0
1.49,4.25,0
0.05,2.18,0
1.77,0.87,0
9.12,8.87,1
8.06,8.26,1
6.01,8.21,1
0.16,0.6,0
