Age,Salary,Experience
62,116346,10
53,133087,15
65,106348,43
45,146615,15
36,147715,4
51,140969,29
57,125834,29
50,141149,20
64,107301,7
59,148558,34
24,117872,2
22,101613,0
29,70878,7
29,84217,6
33,106281,1
47,136560,14
27,116614,4
44,54025,15
52,116185,18
39,144050,0
25,97438,2
45,72245,9
56,143019,21
65,80198,3
28,89264,1
36,139515,6
64,124048,26
27,93192,3
44,132077,17
29,90593,6
22,130231,0
25,32378,0
57,43130,31
31,105584,0
23,44704,1
37,68197,10
59,77191,36
33,146559,6
58,96797,8
38,99707,5
44,104040,10
28,37656,4
37,77843,12
50,90520,28
23,47652,0
53,58032,24
51,135029,2
61,108043,40
48,102677,17
41,61515,13
37,72386,10
40,58781,7
48,85119,16
24,55523,0
36,44740,7
61,32243,8
33,51216,1
47,33240,2
28,136446,3
28,40838,3
52,141163,14
37,133227,10
25,107558,0
39,50438,16
46,131778,9
31,31226,4
60,66338,37
60,32398,29
59,54119,18
28,36590,7
29,117655,0
30,61853,1
29,106825,8
37,71741,9
35,58536,10
33,74172,1
37,92941,16
45,111338,12
40,112401,10
34,44302,2
25,113625,4
64,99122,15
43,94198,3
33,84508,7
56,120395,24
46,58143,20
26,114395,0
47,142492,25
37,147270,5
57,92316,30
61,51098,4
27,119794,0
30,125978,5
43,128470,21
42,124609,3
55,53354,34
40,33184,19
33,30012,3
35,48677,1
56,125555,26
